run_id,backend,material_matrix,material_inclusion,diameter_mm,depth_mm,is_healthy,noise_condition,noise_db,noise_seed,method,is_detected,cnr,defect_contrast,iou,dice,precision,recall,loc_error_mm,loc_error_px,true_diameter_mm,pred_diameter_mm,diam_error_mm,true_area_mm2,pred_area_mm2,area_error_mm2,runtime_seconds,sim_time_seconds,git_commit,config_hash
14,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1002,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.19326689999434166,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
15,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1002,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.0018514000112190843,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
16,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1003,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.00048719998449087143,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
17,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1003,Matched Filter,False,0.8148192493028794,0.18927400613511702,0.0,0.0,0.0,0.0,19.830056658025487,7.132621615879527,4.0,14.6051594771551,10.6051594771551,12.566370614359172,167.53381893860563,154.96744832424645,0.007935800007544458,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
18,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1003,PCT,False,1.4431633801875494,0.05387967241420889,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.566370614359172,0.0,12.566370614359172,0.029223700024886057,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
19,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1003,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.16230670001823455,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
20,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1003,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.0016134999750647694,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
21,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1004,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.00042860000394284725,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
22,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1004,Matched Filter,False,0.8148192493028794,0.18927400613511702,0.0,0.0,0.0,0.0,19.830056658025487,7.132621615879527,4.0,14.6051594771551,10.6051594771551,12.566370614359172,167.53381893860563,154.96744832424645,0.0062898999894969165,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
23,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1004,PCT,False,1.4431633801875494,0.05387967241420889,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.566370614359172,0.0,12.566370614359172,0.013783900009002537,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
24,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1004,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.18160790001275018,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
25,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1004,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.0017596999823581427,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
26,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1005,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.00044869998237118125,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
27,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1005,Matched Filter,False,0.8148192493028794,0.18927400613511702,0.0,0.0,0.0,0.0,19.830056658025487,7.132621615879527,4.0,14.6051594771551,10.6051594771551,12.566370614359172,167.53381893860563,154.96744832424645,0.0073951999947894365,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
28,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1005,PCT,False,1.4431633801875494,0.05387967241420889,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.566370614359172,0.0,12.566370614359172,0.00862440001219511,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
29,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1005,SPCT,False,0.39721450021137406,0.00013325494043350122,0.0,0.0,0.0,0.0,53.15758090722742,19.09188309203678,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.13354929999331944,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
30,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1005,RPT,False,0.2520618879108199,0.12642900767277254,0.0,0.0,0.0,0.0,17.719193635742474,6.3639610306789285,4.0,9.136158811767384,5.136158811767384,12.566370614359172,65.55671175858481,52.99034114422564,0.001868599996669218,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
31,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1006,Raw Contrast,False,0.060019939739675746,0.13140912591754306,0.0,0.0,0.0,0.0,26.333331138011033,9.219544457292887,4.0,11.394792034929756,7.394792034929756,12.566370614359172,101.97710718002082,89.41073656566165,0.0007249999907799065,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
32,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1006,Matched Filter,False,0.8148192493028794,0.18927400613511702,0.0,0.0,0.0,0.0,19.830056658025487,7.132621615879527,4.0,14.6051594771551,10.6051594771551,12.566370614359172,167.53381893860563,154.96744832424645,0.007531199982622638,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
33,fem,mild_steel_1018,welding_slag_silicate,4.0,0.2,False,SNR 30 dB,30.0,1006,PCT,False,1.4431633801875494,0.05387967241420889,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,12.566370614359172,0.0,12.566370614359172,0.009978000016417354,4.3758642000029795,f7b2779a10924b2c6e7fb4af567db08a93b883d0,2a04f73efc008b19
