method,depth_mm,detection_rate,mean_cnr,std_cnr,mean_iou,std_iou,mean_loc_error_mm,std_loc_error_mm
Matched Filter,0.2,0.45806451612903226,1.8108193975699765,3.7021499660287773,0.26390161844388565,0.3193182519501592,16.84897698860334,19.699562782425897
Matched Filter,0.4,0.22580645161290322,1.121040739335237,1.2728254796711724,0.10644087095699997,0.21242169574633943,28.682300999326053,17.502284389254513
Matched Filter,0.6,0.4,1.4050318426864452,1.7719282286693334,0.2411016133571811,0.3376439412195278,23.875000348011298,19.868041212144426
Matched Filter,0.8,0.2838709677419355,1.2213595315572723,1.4009502093249344,0.17351753550201895,0.2645136671917111,26.74402122517311,19.083681353919033
Matched Filter,1.0,0.2903225806451613,1.1490162857994488,1.2411528538672767,0.17491538496438455,0.2621409566339856,26.74402122517311,19.083681353919033
PCT,0.2,0.12903225806451613,4.354883675349178,11.160694937817807,0.09462365591397849,0.24780374021543372,5.003421288705743,10.734446594351294
PCT,0.4,0.3225806451612903,1.8601079495290833,7.888798566835102,0.2213528407076794,0.3150706400632749,11.399100486658298,13.665139499839006
PCT,0.6,0.12903225806451613,2.2814583339712295,7.150875980472439,0.10129032258064517,0.26035367971684803,9.603654034659677,14.460433337824679
PCT,0.8,0.3225806451612903,1.57976644858847,5.364571768194731,0.22036694488307393,0.328238686785045,10.736576865349312,14.004292325847606
PCT,1.0,0.1935483870967742,1.4217277659880199,4.569943977556785,0.13812387379429744,0.2693546435280651,13.645208685757831,13.116503694598105
RPT,0.2,0.25806451612903225,1.7085230618202545,5.412937421707869,0.1935483870967742,0.33074698623934023,4.923125128042359,7.595248448223891
RPT,0.4,0.1935483870967742,0.6319452164601306,2.209028355809455,0.08344854070660522,0.17925608412021107,14.306210404762664,6.37588000812555
RPT,0.6,0.12903225806451613,0.7479396926479236,2.558002444268764,0.09523809523809523,0.24956893661148777,12.761607128873385,7.788149752243812
RPT,0.8,0.1935483870967742,0.5042539664616866,1.5991067585376524,0.06931643625192012,0.142662933490654,14.44418550048822,6.115898232645508
RPT,1.0,0.06451612903225806,0.4343401512846542,1.2998152669328462,0.02457757296466974,0.09389197703521966,16.246466329674014,4.547459313966585
Raw Contrast,0.2,0.0,0.7816154492439896,5.9309647620798565,0.0,0.0,25.483868843236483,4.667778320107806
Raw Contrast,0.4,0.0064516129032258064,0.4520657594455225,2.372667985822874,0.005376344086021506,0.06693494407520822,25.483868843236483,4.667778320107806
Raw Contrast,0.6,0.0064516129032258064,0.45759438503750915,2.613620282223706,0.005161290322580645,0.0642575463121999,25.483868843236483,4.667778320107806
Raw Contrast,0.8,0.012903225806451613,0.38671224931021086,1.9228898215664634,0.0052045897380385365,0.06425630703760961,25.483868843236483,4.667778320107806
Raw Contrast,1.0,0.01935483870967742,0.3604388444131226,1.6689049487063006,0.010258353178898751,0.08975718496434197,25.483868843236483,4.667778320107806
SPCT,0.2,0.0,3.719848494838796,32.7317480138971,0.0011730205278592375,0.004481207994862758,36.621062775244035,16.20460285125364
SPCT,0.4,0.25806451612903225,2.3037852246469006,15.908269245088714,0.11347712870689522,0.2791104890215094,19.755994811349513,18.77220708575255
SPCT,0.6,0.06451612903225806,2.334263565482311,12.16810617600557,0.05630498533724341,0.19675127021554456,19.459335195814077,18.78636220963105
SPCT,0.8,0.12903225806451613,1.1413516331989937,4.367729298185074,0.059377181957827124,0.19621570077755768,17.245950267921522,16.755919031412027
SPCT,1.0,0.1935483870967742,1.0688308044587331,4.119998985398638,0.108126237122301,0.25134783629937574,17.687159191808654,15.757416081128213
