method_name,diameter_mm,total_evaluations,detection_rate_pct,mean_iou,mean_cnr,mean_loc_error_mm
Matched Filter,4,155,90.9677419354839,0.132214229206524,1.70365636789026,1.727129893146
Matched Filter,6,155,92.9032258064516,0.273387665827975,1.03349003963203,1.78081565835464
Matched Filter,8,155,100,0.408807212355363,2.51072385494193,0.816961038251174
Matched Filter,10,155,100,0.408513440330409,1.77343947167937,0.816961038251174
Matched Filter,12,155,100,0.532513946015563,1.62438281094108,0.520750716771322
PCT,4,155,47.0967741935484,0.101022214368172,2.23613268624086,0.61663466519949
PCT,6,155,47.0967741935484,0.216293653368718,1.02751823840498,0.61663466519949
PCT,8,155,100,0.66424353625589,2.95966404496774,0.275995857872066
PCT,10,155,100,0.567873684433345,1.89336659623996,0.275995857872066
PCT,12,155,100,0.670132386026311,1.60051969563121,0.0849943577546344
RPT,4,155,23.8709677419355,0.0958004195180007,0.620344414973687,1.14497057236618
RPT,6,155,23.8709677419355,0.112346269091948,0.334058604222757,1.14497057236618
RPT,8,155,76.7741935483871,0.367973975123472,1.43447683852084,0.750231069198095
RPT,10,155,76.7741935483871,0.479725172190184,1.04226257589156,0.750231069198095
RPT,12,155,88.3870967741936,0.606316520507136,1.08374409473678,0.60366917359595
Raw Contrast,4,155,70.9677419354839,0.158737708104659,1.6903348330764,1.62222923358996
Raw Contrast,6,155,70.9677419354839,0.308951913816297,0.875761093012352,1.62222923358996
Raw Contrast,8,155,100,0.439385309457044,2.34801385807974,0.929530066245498
Raw Contrast,10,155,100,0.542319075498467,1.61868771220207,0.929530066245498
Raw Contrast,12,155,100,0.641449891156977,1.45205146639456,0.582647803377789
SPCT,4,155,24.5161290322581,0.0757085477563325,2.289016370421,0.638512550541935
SPCT,6,155,24.5161290322581,0.135328711407426,0.993332556798158,0.638512550541935
SPCT,8,155,100,0.678589264326725,2.77628120774114,0.16593376007135
SPCT,10,155,100,0.515831137680717,1.71920495339342,0.16593376007135
SPCT,12,155,100,0.617641129032258,1.42713534256013,0.10043086013039
