case_id,diameter_mm,depth_mm,is_healthy,snr_db,noise_seed,method_name,is_detected,iou,dice,precision,recall,localization_error_mm,diameter_error_mm,area_error_mm2,cnr,defect_contrast,is_false_positive,specificity,runtime_s
1,4,0.2,0,NaN,1001,Raw Contrast,1,0.001953125,0.00389863547758285,0.001953125,1,0,91.9054977912513,7211.4195200382,0,NaN,0,1,0.1505201
1,4,0.2,0,NaN,1001,Matched Filter,1,0.001953125,0.00389863547758285,0.001953125,1,0,91.9054977912513,7211.4195200382,0,NaN,0,1,0.0751616
1,4,0.2,0,NaN,1001,PCT,1,0.001953125,0.00389863547758285,0.001953125,1,0,91.9054977912513,7211.4195200382,0,NaN,0,1,0.0652276
1,4,0.2,0,NaN,1001,SPCT,1,0.001953125,0.00389863547758285,0.001953125,1,0,91.9054977912513,7211.4195200382,0,NaN,0,1,0.1431364
1,4,0.2,0,NaN,1001,RPT,1,0.001953125,0.00389863547758285,0.001953125,1,0,91.9054977912513,7211.4195200382,0,NaN,0,1,0.0276373
1,4,0.2,0,30,1001,Raw Contrast,1,0.242424242424242,0.390243902439024,0.242424242424242,1,0.715143550194702,4.60836156576965,45.634687586699,2.80602151214205,0.724184663572299,0,1,0.0248588
1,4,0.2,0,30,1001,Matched Filter,1,0.106666666666667,0.192771084337349,0.106666666666667,1,1.44758075694277,8.97759335153374,119.708761660773,2.28820180134684,0.804322164689289,0,1,0.0241326
1,4,0.2,0,30,1001,PCT,0,0,0,0,0,NaN,NaN,NaN,2.97382379431663,0.306748309296095,0,1,0.2504552
1,4,0.2,0,30,1001,SPCT,0,0,0,0,0,NaN,NaN,NaN,2.77591013633955,0.328264648285288,0,1,0.5755543
1,4,0.2,0,30,1001,RPT,1,0.545454545454545,0.705882352941177,0.666666666666667,0.75,0.968774255216959,0.495570208964903,3.3066452586567,2.37563692471526,1.92653975370124,0,1,0.0311546
1,4,0.2,0,30,1002,Raw Contrast,1,0.258064516129032,0.41025641025641,0.258064516129032,1,0.156253912131763,4.34342520002503,42.1073507260288,2.45995901633682,0.701914751305508,0,1,0.0257036
1,4,0.2,0,30,1002,Matched Filter,1,0.0661157024793388,0.124031007751938,0.0661157024793388,1,0.634770530391108,12.4837574328713,200.837509456188,2.29007733265349,0.803365108635768,0,1,0.0219213
1,4,0.2,0,30,1002,PCT,0,0,0,0,0,NaN,NaN,NaN,2.96764150260626,0.306892977399151,0,1,0.2237779
1,4,0.2,0,30,1002,SPCT,0,0,0,0,0,NaN,NaN,NaN,2.7668359122759,0.328542578200344,0,1,0.5090348
1,4,0.2,0,30,1002,RPT,1,0.533333333333333,0.695652173913043,0.533333333333333,1,1.43288590109015,1.80375618367576,13.8886558406673,2.17703159532066,1.77577481967739,0,1,0.0152381
