Method,Detected,IoU,Dice,CNR,LocError_mm,DiamError_mm,Runtime_s
Raw Contrast,1,0.666666666666667,0.8,3.08560066163859,0,0.476928480158152,0.0197605
Matched Filter,1,0.857142857142857,0.923076923076923,2.73033430643398,0,0.658764590119228,0.0195901
PCT (SVD),1,0.666666666666667,0.8,2.96292887508209,0,0.476928480158152,0.0860071
SPCT (L1-Sparse),1,0.571428571428571,0.727272727272727,2.7273172283672,0,2.0059063880468,0.1610896
RPT (Gaussian JL),1,0.857142857142857,0.923076923076923,2.92522114552545,0,0.658764590119228,0.010734
